0,0,0,0
0,0,0,210
0.1,0.8251,0.8251,211.17
0.2,3.3207,3.3207,214.67
0.3,7.5291,7.5291,220.46
0.4,13.495,13.495,228.55
0.5,21.259,21.259,238.97
0.6,30.86,30.86,251.75
0.7,42.337,42.337,266.92
0.8,55.729,55.729,284.51
0.9,71.071,71.071,304.56
1,88.403,88.403,327.11
1.1,107.76,107.76,352.19
1.2,129.18,129.18,379.84
1.3,152.71,152.71,410.1
1.4,178.38,178.38,443.01
1.5,206.22,206.22,478.62
1.6,236.28,236.28,516.95
1.7,268.6,268.6,558.06
1.8,303.21,303.21,601.99
1.9,338.91,338.91,647.21
2,374.45,374.45,692.12
2.1,409.81,409.81,736.71
2.2,445.01,445.01,781
2.3,480.04,480.04,824.98
2.4,514.91,514.91,868.66
2.5,549.63,549.63,912.04
2.6,584.18,584.18,955.13
2.7,618.58,618.58,997.92
2.8,652.83,652.83,1040.4
2.9,686.92,686.92,1082.6
3,720.87,720.87,1124.6
3.1,754.66,754.66,1166.2
3.2,788.32,788.32,1207.6
3.3,821.83,821.83,1248.7
3.4,855.2,855.2,1289.6
3.5,888.43,888.43,1330.1
3.6,921.52,921.52,1370.4
3.7,954.48,954.48,1410.5
3.8,987.3,987.3,1450.3
3.9,1020,1020,1489.8
4,1052.6,1052.6,1529.1
4.1,1085,1085,1568.1
4.2,1117.3,1117.3,1606.8
4.3,1149.5,1149.5,1645.3
4.4,1181.5,1181.5,1683.6
4.5,1213.5,1213.5,1721.6
4.6,1245.3,1245.3,1759.4
4.7,1277,1277,1797
4.8,1308.5,1308.5,1834.3
4.9,1340,1340,1871.3
5,1371.3,1371.3,1908.2
5.1,1402.5,1402.5,1944.8
5.2,1433.7,1433.7,1981.1
5.3,1464.7,1464.7,2017.3
5.4,1495.6,1495.6,2053.2
5.5,1526.3,1526.3,2088.9
5.6,1557,1557,2124.4
5.7,1587.6,1587.6,2159.6
5.8,1618.1,1618.1,2194.6
5.9,1648.4,1648.4,2229.5
6,1678.7,1678.7,2264.1
6.1,1708.8,1708.8,2298.4
6.2,1738.9,1738.9,2332.6
6.3,1768.8,1768.8,2366.6
6.4,1798.7,1798.7,2400.3
6.5,1828.5,1828.5,2433.9
6.6,1858.1,1858.1,2467.2
6.7,1887.7,1887.7,2500.3
6.8,1917.2,1917.2,2533.3
6.9,1946.6,1946.6,2566
7,1975.9,1975.9,2598.5
7.1,2005.1,2005.1,2630.8
7.2,2034.2,2034.2,2663
7.3,2063.2,2063.2,2694.9
7.4,2092.1,2092.1,2726.6
7.5,2121,2121,2758.2
7.6,2149.7,2149.7,2789.5
7.7,2178.4,2178.4,2820.7
7.8,2207,2207,2851.7
7.9,2235.5,2235.5,2882.5
8,2263.9,2263.9,2913
8.1,2292.3,2292.3,2943.5
8.2,2320.5,2320.5,2973.7
8.3,2348.7,2348.7,3003.7
8.4,2376.8,2376.8,3033.6
8.5,2404.8,2404.8,3063.2
8.6,2432.7,2432.7,3092.7
8.7,2460.6,2460.6,3122
8.8,2488.4,2488.4,3151.2
8.9,2516.1,2516.1,3180.1
9,2543.7,2543.7,3208.9
9.1,2571.3,2571.3,3237.5
9.2,2598.8,2598.8,3266
9.3,2626.2,2626.2,3294.2
9.4,2653.5,2653.5,3322.3
9.5,2680.8,2680.8,3350.2
9.6,2708,2708,3377.9
9.7,2735.1,2735.1,3405.5
9.8,2762.2,2762.2,3432.9
9.9,2789.2,2789.2,3460.1
10,2816.1,2816.1,3487.2
10.1,2842.9,2842.9,3514.1
10.2,2869.7,2869.7,3540.8
10.3,2896.4,2896.4,3567.4
10.4,2923.1,2923.1,3593.8
10.5,2949.7,2949.7,3620.1
10.6,2976.2,2976.2,3646.1
10.7,3002.6,3002.6,3672.1
10.8,3029,3029,3697.8
10.9,3055.3,3055.3,3723.4
11,3081.6,3081.6,3748.9
11.1,3107.8,3107.8,3774.1
11.2,3133.9,3133.9,3799.3
11.3,3160,3160,3824.2
11.4,3186,3186,3849
11.5,3212,3212,3873.7
11.6,3237.9,3237.9,3898.2
11.7,3263.7,3263.7,3922.5
11.8,3289.5,3289.5,3946.7
11.9,3315.2,3315.2,3970.8
12,3340.9,3340.9,3994.6
12.1,3366.5,3366.5,4018.4
12.2,3392,3392,4042
12.3,3417.5,3417.5,4065.4
12.4,3443,3443,4088.7
12.5,3468.3,3468.3,4111.8
12.6,3493.7,3493.7,4134.8
12.7,3518.9,3518.9,4157.6
12.8,3544.2,3544.2,4180.3
12.9,3569.3,3569.3,4202.9
13,3594.4,3594.4,4225.3
13.1,3619.5,3619.5,4247.5
13.2,3644.5,3644.5,4269.7
13.3,3669.4,3669.4,4291.6
13.4,3694.3,3694.3,4313.4
13.5,3719.2,3719.2,4335.1
13.6,3744,3744,4356.7
13.7,3768.7,3768.7,4378.1
13.8,3793.4,3793.4,4399.3
13.9,3818.1,3818.1,4420.4
14,3842.7,3842.7,4441.4
14.1,3867.2,3867.2,4462.2
14.2,3891.7,3891.7,4482.9
14.3,3916.1,3916.1,4503.5
14.4,3940.6,3940.6,4523.9
14.5,3964.9,3964.9,4544.2
14.6,3989.2,3989.2,4564.3
14.7,4013.5,4013.5,4584.3
14.8,4037.7,4037.7,4604.2
14.9,4061.8,4061.8,4623.9
15,4086,4086,4643.5
15.1,4110,4110,4663
15.2,4134.1,4134.1,4682.3
15.3,4158,4158,4701.5
15.4,4182,4182,4720.5
15.5,4205.9,4205.9,4739.5
15.6,4229.7,4229.7,4758.3
15.7,4253.5,4253.5,4776.9
15.8,4277.3,4277.3,4795.4
15.9,4301,4301,4813.8
